Team,Full_Name,Championships_Rank,MVPs_Rank,HistWinPct_Rank,SeasonWinPct_Rank,FinalsApp_Rank,YrsSinceWin_Rank,HoF_Rank,No1Picks_Rank
ATL,Atlanta Hawks,13,12,16,16,12,19,4,4
BOS,Boston Celtics,1,1,1,3,2,2,1,21
BKN,Brooklyn Nets,21,23,29,25,19,21,11,16
CHA,Charlotte Hornets,22,24,27,28,26,22,26,22
CHI,Chicago Bulls,4,4,13,18,8,13,14,17
CLE,Cleveland Cavaliers,14,13,20,2,10,8,25,1
DAL,Dallas Mavericks,15,16,14,19,15,11,20,18
DEN,Denver Nuggets,16,7,12,6,23,3,12,25
DET,Detroit Pistons,6,25,19,14,6,12,5,11
GSW,Golden State Warriors,3,8,18,11,3,4,7,12
HOU,Houston Rockets,9,6,11,4,13,14,13,2
IND,Indiana Pacers,23,26,15,7,20,23,18,26
LAC,Los Angeles Clippers,24,17,28,8,27,24,19,13
LAL,Los Angeles Lakers,2,2,3,9,1,6,2,14
MEM,Memphis Grizzlies,25,27,26,12,28,25,28,27
MIA,Miami Heat,7,14,8,20,7,10,24,28
MIL,Milwaukee Bucks,10,5,7,13,16,5,10,5
MIN,Minnesota Timberwolves,26,18,30,10,29,26,29,19
NOP,New Orleans Pelicans,27,28,23,27,30,27,30,20
NYK,New York Knicks,11,19,17,5,5,18,3,6
OKC,Oklahoma City Thunder,12,9,4,1,11,1,17,29
ORL,Orlando Magic,28,29,22,15,21,28,21,7
PHI,Philadelphia 76ers,8,3,10,26,4,15,6,8
PHO,Phoenix Suns,29,10,5,21,17,29,15,23
POR,Portland Trail Blazers,17,20,9,22,18,17,22,9
SAC,Sacramento Kings,18,21,24,17,24,20,8,3
SAS,San Antonio Spurs,5,11,2,23,9,9,16,15
TOR,Toronto Raptors,19,30,21,24,25,7,27,24
UTA,Utah Jazz,30,15,6,30,22,30,23,30
WAS,Washington Wizards,20,22,25,29,14,16,9,10
